   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.41484,             0.27287,             0.23008,             0.18594,            0.017794,           0.0076723,            0.053763,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.3,                   1,                 0.7,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.14574,             0.28797,             0.16567,             0.12349,            0.021038,           0.0087335,            0.049415,                0.01,                 0.1,               0.937,              0.0005,              2.9295,             0.68681,             0.11167,             0.05318,             0.28916,             0.87747,             0.72036,               1.049,                 0.2,              4.1636,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.34286,             0.34693,             0.17572,             0.13898,             0.02238,           0.0089485,            0.055834,                0.01,             0.10441,             0.96722,             0.00051,              2.5986,                 0.8,              0.1034,             0.05644,                 0.3,                   1,              0.6547,              1.1323,                 0.2,              3.7168,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.3512
            0.096585,             0.46474,             0.14986,             0.11341,             0.01986,           0.0078115,            0.054979,             0.01061,             0.10441,             0.96453,             0.00051,              2.5518,                 0.8,             0.10295,              0.0572,                 0.3,             0.96223,             0.64148,              1.1323,                 0.2,              3.7569,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.5418
              0.1756,             0.32841,             0.16467,             0.13307,            0.018634,           0.0085107,            0.051221,              0.0102,              0.0966,             0.94379,              0.0005,              2.8802,             0.74807,             0.10915,             0.05397,             0.29096,             0.92356,             0.71483,               1.049,                 0.2,              4.1636,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.8204
             0.53433,             0.24985,             0.16118,              0.1285,            0.021943,            0.010624,            0.042113,             0.00863,                 0.1,                0.98,              0.0005,              3.3678,             0.57028,             0.10964,             0.06174,             0.32161,             0.63097,             0.71963,              1.2237,                 0.2,              4.6043,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   2
             0.34332,             0.28554,             0.21046,             0.16189,            0.021498,           0.0088126,            0.053007,              0.0102,              0.0966,             0.94379,              0.0005,              3.0002,             0.71004,             0.08783,             0.05397,             0.29096,              0.9968,             0.71186,              1.1655,                 0.2,              3.6495,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.5135
              0.2537,             0.39924,             0.14259,               0.112,            0.019189,            0.011507,             0.05088,             0.00983,             0.10705,              0.9772,             0.00055,              2.4664,             0.71992,               0.092,             0.05644,             0.29012,             0.89779,             0.74673,              1.5672,                 0.2,              3.8451,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              4.3883
             0.17173,             0.41346,             0.14577,              0.1179,            0.018442,           0.0087507,            0.052174,             0.00998,             0.11426,             0.97691,             0.00051,              2.9574,             0.61942,             0.11332,             0.05644,             0.25883,              1.0535,             0.68965,              1.1323,                 0.2,              3.7168,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              6.2409
             0.54572,             0.27129,               0.184,             0.14261,            0.020326,           0.0080615,            0.052006,             0.01154,             0.09766,             0.96818,             0.00061,              2.6738,                 0.8,             0.10734,             0.05493,             0.28163,              0.9888,             0.68022,              1.2438,                 0.2,              3.5351,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.1684
